Language pair	Model	Epoch	BLEU Score
enukr	T5	1	6.5
enukr	T5	2	10.2
enukr	T5	3	13.6
enukr	T5	4	15.8
enukr	T5	5	17.4
enukr	T5	6	19.2
enukr	T5	7	20.5
enukr	T5	8	22.3
enukr	 MarianMT	1	7.1
enukr	 MarianMT	2	11.3
enukr	 MarianMT	3	14.7
enukr	 MarianMT	4	16.2
enukr	 MarianMT	5	18.1
enukr	 MarianMT	6	19.7
enukr	 MarianMT	7	21.2
enukr	 MarianMT	8	23.1
enukr	Seq2Seq	1	4.8
enukr	Seq2Seq	2	8.6
enukr	Seq2Seq	3	11.2
enukr	Seq2Seq	4	13.9
enukr	Seq2Seq	5	15.3
enukr	Seq2Seq	6	16.8
enukr	Seq2Seq	7	18.4
enukr	Seq2Seq	8	20.1
encs	T5	1	6.2
encs	T5	2	9.9
encs	T5	3	12.8
encs	T5	4	14.5
encs	T5	5	16.3
encs	T5	6	18.1
encs	T5	7	19.6
encs	T5	8	21.8
encs	 MarianMT	1	6.8
encs	 MarianMT	2	10.5
encs	 MarianMT	3	13.4
encs	 MarianMT	4	15.7
encs	 MarianMT	5	17.2
encs	 MarianMT	6	18.9
encs	 MarianMT	7	20.3
encs	 MarianMT	8	22.6
encs	Seq2Seq	1	4.5
encs	Seq2Seq	2	7.9
encs	Seq2Seq	3	10.4
encs	Seq2Seq	4	12.6
encs	Seq2Seq	5	14.1
encs	Seq2Seq	6	15.7
encs	Seq2Seq	7	17.1
encs	Seq2Seq	8	19.3
csen	T5	1	5.9
csen	T5	2	9.3
csen	T5	3	12.1
csen	T5	4	14.2
csen	T5	5	15.9
csen	T5	6	17.6
csen	T5	7	19
csen	T5	8	21.2
csen	 MarianMT	1	6.3
csen	 MarianMT	2	10.1
csen	 MarianMT	3	13
csen	 MarianMT	4	15.1
csen	 MarianMT	5	16.7
csen	 MarianMT	6	18.4
csen	 MarianMT	7	19.8
csen	 MarianMT	8	22
csen	Seq2Seq	1	4.3
csen	Seq2Seq	2	7.5
csen	Seq2Seq	3	10.1
csen	Seq2Seq	4	12.3
csen	Seq2Seq	5	13.7
csen	Seq2Seq	6	15.2
csen	Seq2Seq	7	16.5
csen	Seq2Seq	8	18.7
