Language pair,Model,Epoch,Training Loss,Validation Loss
enukr,Seq2Seq with Attention,1,0.110,0.096
enukr,Seq2Seq with Attention,2,0.085,0.077
enukr,Seq2Seq with Attention,3,0.073,0.068
enukr,Seq2Seq with Attention,4,0.065,0.059
enukr,Seq2Seq with Attention,5,0.055,0.049
enukr,Seq2Seq with Attention,6,0.045,0.040
enukr,Seq2Seq with Attention,7,0.038,0.033
enukr,Seq2Seq with Attention,8,0.031,0.027
encs,Seq2Seq with Attention,1,0.480,0.330
encs,Seq2Seq with Attention,2,0.330,0.260
encs,Seq2Seq with Attention,3,0.280,0.220
encs,Seq2Seq with Attention,4,0.240,0.200
encs,Seq2Seq with Attention,5,0.220,0.180
encs,Seq2Seq with Attention,6,0.200,0.165
encs,Seq2Seq with Attention,7,0.180,0.150
encs,Seq2Seq with Attention,8,0.165,0.135
csen,Seq2Seq with Attention,1,0.210,0.160
csen,Seq2Seq with Attention,2,0.160,0.130
csen,Seq2Seq with Attention,3,0.140,0.115
csen,Seq2Seq with Attention,4,0.120,0.100
csen,Seq2Seq with Attention,5,0.105,0.088
csen,Seq2Seq with Attention,6,0.093,0.078
csen,Seq2Seq with Attention,7,0.083,0.070
csen,Seq2Seq with Attention,8,0.074,0.063
ukr-en,Seq2Seq with Attention,1,0.195,0.152
ukr-en,Seq2Seq with Attention,2,0.150,0.120
ukr-en,Seq2Seq with Attention,3,0.123,0.099
ukr-en,Seq2Seq with Attention,4,0.102,0.084
ukr-en,Seq2Seq with Attention,5,0.085,0.072
ukr-en,Seq2Seq with Attention,6,0.071,0.061
ukr-en,Seq2Seq with Attention,7,0.059,0.050
ukr-en,Seq2Seq with Attention,8,0.048,0.039
en-de,Seq2Seq with Attention,1,0.490,0.340
en-de,Seq2Seq with Attention,2,0.340,0.270
en-de,Seq2Seq with Attention,3,0.285,0.230
en-de,Seq2Seq with Attention,4,0.235,0.195
en-de,Seq2Seq with Attention,5,0.200,0.170
en-de,Seq2Seq with Attention,6,0.165,0.142
en-de,Seq2Seq with Attention,7,0.140,0.118
en-de,Seq2Seq with Attention,8,0.115,0.097
de-en,Seq2Seq with Attention,1,0.205,0.165
de-en,Seq2Seq with Attention,2,0.165,0.135
de-en,Seq2Seq with Attention,3,0.135,0.110
de-en,Seq2Seq with Attention,4,0.113,0.093
de-en,Seq2Seq with Attention,5,0.095,0.079
de-en,Seq2Seq with Attention,6,0.080,0.067
de-en,Seq2Seq with Attention,7,0.068,0.057
de-en,Seq2Seq with Attention,8,0.058,0.049

